asn,src,dest,owner,ch,slot,queuePos,info
1221,8772,b868,b868,,,0,linkreq enqueued
1221,b381,b868,b868,,,0,linkreq enqueued
1221,1162,b868,b868,,,0,linkreq enqueued
1299,b381,b868,,,,0,linkreq txed
1299,b381,b868,b868,11,93,1,LinkReq rcvd - LinkRep prepared
1339,8772,b868,,,,0,linkreq txed
1339,8772,b868,b868,9,141,2,LinkReq rcvd - LinkRep prepared
1562,8772,b868,b868,,,2,LinkRep txed
1562,8772,b868,b868,,,,LinkRep rcvd - Res successful
1583,b381,b868,b868,,,1,LinkRep txed
1583,b381,b868,b868,,,,LinkRep rcvd - Res successful
1627,c280,8772,b868,,,0,linkreq enqueued
1664,c280,8772,,,,0,linkreq txed
1664,c280,8772,b868,7,21,1,LinkReq rcvd - LinkRep prepared
1705,c280,8772,b868,,,1,LinkRep txed
1830,c280,8772,b868,,,0,linkreq enqueued
1867,c280,8772,,,,0,linkreq txed
1867,c280,8772,b868,4,45,1,LinkReq rcvd - LinkRep prepared
2233,c280,8772,b868,,,,LinkRep rcvd - Res successful
2233,c280,8772,b868,,,1,LinkRep txed
2236,8772,b868,8772,,,1,linkreq enqueued
2407,1162,b868,,,,0,LinkReq failed
2439,1162,b868,b868,,,0,linkreq enqueued
2577,8772,b868,,,,1,linkreq txed
2577,8772,b868,8772,12,181,1,LinkReq rcvd - LinkRep prepared
2780,8772,b868,8772,,,1,LinkRep txed
2845,8772,b868,8772,,,1,linkreq enqueued
3048,b381,b868,b381,,,1,linkreq enqueued
3138,b381,b868,,,,1,linkreq txed
3138,b381,b868,b381,7,13,1,LinkReq rcvd - LinkRep prepared
3251,c280,b868,b868,,,0,linkreq enqueued
3341,b381,b868,b381,,,,LinkRep rcvd - Res successful
3341,b381,b868,b381,,,1,LinkRep txed
3938,c280,b868,,,,0,linkreq txed
3938,c280,b868,b868,14,101,2,LinkReq rcvd - LinkRep prepared
4116,1162,b868,,,,0,LinkReq failed
4141,c280,b868,b868,,,,LinkRep rcvd - Res successful
4141,c280,b868,b868,,,2,LinkRep txed
4266,c280,b868,c280,,,0,linkreq enqueued
4266,1162,b868,b868,,,3,linkreq enqueued
5002,8772,b868,,,,1,LinkReq failed
5078,8772,b868,8772,,,7,linkreq enqueued
5115,1162,b868,,,,3,linkreq txed
5115,1162,b868,b868,3,58,2,LinkReq rcvd - LinkRep prepared
5399,1162,b868,b868,,,,LinkRep rcvd - Res successful
5399,1162,b868,b868,,,2,LinkRep txed
5484,1162,b868,1162,,,4,linkreq enqueued
5539,1162,b868,,,,4,linkreq txed
5539,1162,b868,1162,2,107,1,LinkReq rcvd - LinkRep prepared
5742,1162,b868,1162,,,,LinkRep rcvd - Res successful
5742,1162,b868,1162,,,1,LinkRep txed
5890,1162,b381,b868,,,4,linkreq enqueued
6130,1162,b381,,,,4,linkreq txed
6130,1162,b381,b868,11,95,1,LinkReq rcvd - LinkRep prepared
6171,1162,b381,b868,,,,LinkRep rcvd - Res successful
