asn,parent,fils
1221,b868,['b381']
1221,b868,"['b381', '8772']"
1221,b868,"['b381', '8772', '1162']"
1627,8772,['c280']
1830,8772,['c280']
2439,b868,"['b381', '8772', '1162']"
3248,b868,"['b381', '8772', '1162', 'c280']"
3248,8772,[]
3251,b868,"['b381', '8772', '1162', 'c280']"
4266,b868,"['b381', '8772', '1162', 'c280']"
5684,b381,['1162']
5684,b868,"['b381', '8772', 'c280']"
5890,b381,['1162']
5968,8772,['c280']
5968,b868,"['b381', '8772']"
8038,8772,"['c280', '1162']"
8038,b381,[]
8529,8772,"['c280', '1162']"
9950,8772,"['c280', '1162']"
12589,8772,"['c280', '1162']"
12792,8772,"['c280', '1162']"
65447,b868,"['b381', '8772', 'c280']"
65447,8772,['1162']
66381,8772,"['1162', 'c280']"
66381,b868,"['b381', '8772']"
206329,b868,"['b381', '8772', 'c280']"
206329,8772,['1162']
210632,b868,"['b381', '8772', 'c280']"
210632,8772,['1162']
214652,8772,"['1162', 'c280']"
214652,b868,"['b381', '8772']"
226263,b868,"['b381', '8772', 'c280']"
226263,8772,['1162']
234424,8772,"['1162', 'c280']"
234424,b868,"['b381', '8772']"
242179,b868,"['b381', '8772', 'c280']"
242179,8772,['1162']
246969,b868,"['b381', '8772', 'c280']"
246969,8772,['1162']
249730,b868,"['b381', '8772', 'c280']"
249730,8772,['1162']
254034,b868,"['b381', '8772', 'c280']"
254034,8772,['1162']
257282,8772,"['1162', 'c280']"
257282,b868,"['b381', '8772']"
366983,b868,"['b381', '8772', 'c280']"
366983,8772,['1162']
369460,8772,"['1162', 'c280']"
369460,b868,"['b381', '8772']"
382127,b868,"['b381', '8772', 'c280']"
382127,8772,['1162']
386187,b868,"['b381', '8772', 'c280']"
386187,8772,['1162']
390896,b868,"['b381', '8772', 'c280']"
390896,8772,['1162']
392723,8772,"['1162', 'c280']"
392723,b868,"['b381', '8772']"
