time,addr,comp,asn,statType,trackinstance,trackowner,length,frameType,slotOffset,frequency,l2Src,rssi,lqi,crc,queuePos,ACK_RX
"2017-04-07 09:31:07,577",8772,9,1015,4,0,0000000000000000,0,IEEE154_TYPE_BEACON,0,16,054332ff03dab868,189,125,1,0,0
"2017-04-07 09:31:07,577",b381,9,1015,4,0,0000000000000000,0,IEEE154_TYPE_BEACON,0,16,054332ff03dab868,188,51,1,0,0
"2017-04-07 09:31:07,578",1162,9,1015,4,0,0000000000000000,0,IEEE154_TYPE_BEACON,0,16,054332ff03dab868,188,238,1,0,0
"2017-04-07 09:31:07,582",c280,9,1015,4,0,0000000000000000,0,IEEE154_TYPE_BEACON,0,16,054332ff03dab868,165,215,1,0,0
"2017-04-07 09:31:09,884",b381,9,1096,4,0,0000000000000000,32,IEEE154_TYPE_DATA,81,16,054332ff03dab868,187,15,1,0,0
"2017-04-07 09:31:09,886",1162,9,1096,4,0,0000000000000000,32,IEEE154_TYPE_DATA,81,16,054332ff03dab868,189,15,1,0,0
"2017-04-07 09:31:09,886",8772,9,1096,4,0,0000000000000000,32,IEEE154_TYPE_DATA,81,16,054332ff03dab868,189,15,1,0,0
"2017-04-07 09:31:15,988",b868,9,1299,4,0,0000000000000000,38,IEEE154_TYPE_DATA,81,16,054332ff03d9b381,186,0,1,0,1
"2017-04-07 09:31:17,190",b868,9,1339,4,4,054332ff03dab868,38,IEEE154_TYPE_DATA,93,16,054332ff03da8772,188,0,1,0,1
"2017-04-07 09:31:18,424",1162,9,1380,4,0,0000000000000000,32,IEEE154_TYPE_DATA,162,16,054332ff03d9b381,178,0,1,2,0
"2017-04-07 09:31:22,088",b381,9,1502,4,0,0000000000000000,32,IEEE154_TYPE_DATA,81,16,054332ff03da8772,174,0,1,0,0
"2017-04-07 09:31:22,089",c280,9,1502,4,0,0000000000000000,32,IEEE154_TYPE_DATA,81,16,054332ff03da8772,195,9,1,0,0
"2017-04-07 09:31:23,894",8772,9,1562,4,0,0000000000000000,29,IEEE154_TYPE_DATA,162,16,054332ff03dab868,189,0,1,0,1
"2017-04-07 09:31:24,556",b381,9,1583,4,0,0000000000000000,29,IEEE154_TYPE_DATA,162,16,054332ff03dab868,186,0,1,0,1
"2017-04-07 09:31:26,958",8772,9,1664,4,0,0000000000000000,38,IEEE154_TYPE_DATA,40,16,054332ff03d8c280,195,0,1,0,1
"2017-04-07 09:31:28,190",c280,9,1705,4,0,0000000000000000,29,IEEE154_TYPE_DATA,81,16,054332ff03da8772,194,6,1,0,1
"2017-04-07 09:31:29,397",b868,9,1745,4,0,0000000000000000,32,IEEE154_TYPE_DATA,121,16,054332ff03d8c280,165,0,1,0,0
"2017-04-07 09:31:29,404",8772,9,1745,4,0,0000000000000000,32,IEEE154_TYPE_DATA,121,16,054332ff03d8c280,195,7,1,0,0
"2017-04-07 09:31:31,946",c280,9,1827,4,0,0000000000000000,32,IEEE154_TYPE_DATA,0,16,054332ff03da8772,195,0,1,0,0
