time,addr,asn,length,frameType,slotOffset,frequency,l2Dest,txpower,numTxAttempts,L3Src,L3Dest,L4Proto,L4SrcPort,L4DestPort,succes_rx,succes_ack,list_rx
"2017-07-20 15:20:29,193",0001,22,45,IEEE154_TYPE_BEACON,0,25,ffff000000000000,31,1,00000000000000000000000000000000,00000000000000000000000000000000,IANA_UNDEFINED,0,0,0,0,[]
"2017-07-20 15:20:29,476",0001,154,45,IEEE154_TYPE_BEACON,0,12,ffff000000000000,31,1,00000000000000000000000000000000,00000000000000000000000000000000,IANA_UNDEFINED,0,0,0,0,[]
"2017-07-20 15:20:29,765",0001,286,45,IEEE154_TYPE_BEACON,0,20,ffff000000000000,31,1,00000000000000000000000000000000,00000000000000000000000000000000,IANA_UNDEFINED,0,0,0,0,[]
"2017-07-20 15:20:30,076",0001,429,45,IEEE154_TYPE_BEACON,0,14,ffff000000000000,31,1,00000000000000000000000000000000,00000000000000000000000000000000,IANA_UNDEFINED,0,0,0,0,[]
"2017-07-20 15:20:30,406",0001,572,45,IEEE154_TYPE_BEACON,0,24,ffff000000000000,31,1,00000000000000000000000000000000,00000000000000000000000000000000,IANA_UNDEFINED,0,0,0,0,[]
"2017-07-20 15:20:30,612",0001,660,95,IEEE154_TYPE_DATA,0,26,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_ICMPv6,155,0,0,0,[]
"2017-07-20 15:20:30,690",0001,693,45,IEEE154_TYPE_BEACON,0,15,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:20:31,021",0001,836,45,IEEE154_TYPE_BEACON,0,26,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,0,"['0002', '000d', '000c', '000b', '0009']"
"2017-07-20 15:20:31,768",0001,968,45,IEEE154_TYPE_BEACON,0,19,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,0,"['000b', '000d', '000c', '0002']"
"2017-07-20 15:20:32,471",0001,1100,45,IEEE154_TYPE_BEACON,0,24,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,0,"['000b', '0002', '000d']"
"2017-07-20 15:20:33,139",0001,1232,45,IEEE154_TYPE_BEACON,0,16,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,0,"['000b', '000d', '000c', '0002']"
"2017-07-20 15:20:33,668",0001,1331,95,IEEE154_TYPE_DATA,0,18,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_ICMPv6,155,0,1,0,"['0002', '000d', '000c', '000b', '0009']"
"2017-07-20 15:20:33,742",000c,1342,46,IEEE154_TYPE_DATA,0,20,141592cc00000001,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:20:33,750",000d,1342,42,IEEE154_TYPE_DATA,0,20,141592cc00000001,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:20:33,752",000b,1342,42,IEEE154_TYPE_DATA,0,20,141592cc00000001,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:20:33,756",0002,1342,46,IEEE154_TYPE_DATA,0,20,141592cc00000001,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,1,['0001']
"2017-07-20 15:20:33,833",000d,1353,42,IEEE154_TYPE_DATA,0,11,141592cc00000001,31,2,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:20:33,836",000b,1353,42,IEEE154_TYPE_DATA,0,11,141592cc00000001,31,2,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:20:33,845",0001,1353,34,IEEE154_TYPE_DATA,0,11,141592cc00000002,31,1,00000000000000000000000000000000,00000000000000000000000000000000,IANA_UNDEFINED,0,0,1,1,['0002']
"2017-07-20 15:20:33,916",0009,1364,95,IEEE154_TYPE_DATA,0,26,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000009,IANA_ICMPv6,155,0,1,0,"['0002', '000d']"
"2017-07-20 15:20:33,926",000c,1364,46,IEEE154_TYPE_DATA,0,26,141592cc00000001,31,2,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,1,['0001']
"2017-07-20 15:20:33,984",000d,1375,42,IEEE154_TYPE_DATA,0,21,141592cc00000001,31,3,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:20:33,994",0001,1375,34,IEEE154_TYPE_DATA,0,21,141592cc0000000c,31,1,00000000000000000000000000000000,00000000000000000000000000000000,IANA_UNDEFINED,0,0,1,1,['000c']
"2017-07-20 15:20:34,060",0001,1386,45,IEEE154_TYPE_BEACON,0,12,ffff92cc00000002,31,1,00000000000000000000000000000000,00000000000000000000000000000000,IANA_UNDEFINED,0,0,1,0,"['000c', '0002']"
"2017-07-20 15:20:34,069",000b,1386,42,IEEE154_TYPE_DATA,0,12,141592cc00000001,31,3,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:20:34,072",000d,1386,42,IEEE154_TYPE_DATA,0,12,141592cc00000001,31,4,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:20:34,133",0002,1397,95,IEEE154_TYPE_DATA,0,15,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000002,IANA_ICMPv6,155,0,1,0,"['0009', '0001']"
"2017-07-20 15:20:34,137",000c,1397,95,IEEE154_TYPE_DATA,0,15,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc0000000c,IANA_ICMPv6,155,0,1,0,['000b']
"2017-07-20 15:20:34,266",000d,1419,46,IEEE154_TYPE_DATA,0,13,141592cc00000001,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,1,['0001']
"2017-07-20 15:20:34,331",000d,1430,95,IEEE154_TYPE_DATA,0,25,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc0000000d,IANA_ICMPv6,155,0,0,0,[]
"2017-07-20 15:20:34,338",0001,1430,34,IEEE154_TYPE_DATA,0,25,141592cc0000000d,31,1,00000000000000000000000000000000,00000000000000000000000000000000,IANA_UNDEFINED,0,0,0,0,[]
"2017-07-20 15:20:34,396",0001,1441,34,IEEE154_TYPE_DATA,0,17,141592cc0000000d,31,2,00000000000000000000000000000000,00000000000000000000000000000000,IANA_UNDEFINED,0,0,1,1,['000d']
"2017-07-20 15:20:34,719",0001,1507,45,IEEE154_TYPE_BEACON,0,18,ffff92cc0000000d,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000002,IANA_UNDEFINED,155,0,1,0,"['000d', '0009', '0002']"
"2017-07-20 15:20:34,738",000b,1507,42,IEEE154_TYPE_DATA,0,18,141592cc00000001,31,4,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:20:34,809",000b,1518,46,IEEE154_TYPE_DATA,0,20,141592cc00000001,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,1,['0001']
"2017-07-20 15:20:34,882",000b,1529,95,IEEE154_TYPE_DATA,0,11,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc0000000b,IANA_ICMPv6,155,0,0,0,[]
"2017-07-20 15:20:34,884",0001,1529,34,IEEE154_TYPE_DATA,0,11,141592cc0000000b,31,1,00000000000000000000000000000000,00000000000000000000000000000000,IANA_UNDEFINED,0,0,0,0,[]
"2017-07-20 15:20:35,050",0001,1562,34,IEEE154_TYPE_DATA,0,12,141592cc0000000b,31,2,00000000000000000000000000000000,00000000000000000000000000000000,IANA_UNDEFINED,0,0,1,1,['000b']
"2017-07-20 15:20:35,409",0001,1639,45,IEEE154_TYPE_BEACON,0,22,ffff92cc0000000b,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000002,IANA_UNDEFINED,155,0,1,0,"['0002', '000d', '000c', '000b']"
