asn creation,asn_req,asn_rep,asn_tx,src,dest,owner,succes,numAttempts,colision,nb_req,req_1,req_2,req_3,req_4,nb_rep,rep_1,rep_2,rep_3,rep_4,queuePos,nbCellsReq,nbCellsRep,slot1,ch1,s1,slot2,ch2,s2,slot3,ch3,s3,state,nb_sibl,nb_fils,diff_asn
1221,1299,1583,,b381,b868,b868,1,1,,2,1,1,,,2,,,,,"[1, 1]",1,1,177,2,0,163,12,0,93,11,1,4,2,,
1221,1339,1562,,8772,b868,b868,1,1,,2,1,1,,,1,,,,,"[2, 2]",1,1,188,15,0,38,14,0,141,9,1,4,2,,
1221,2407,,,1162,b868,b868,0,1,,4,1,2,3,1,0,,,,,[0],1,,174,7,0,64,14,0,89,7,0,-1,2,,
1627,1664,1705,,c280,8772,b868,1,1,,1,2,,,,1,,,,,"[1, 1]",1,1,148,0,0,36,6,0,21,7,1,4,0,,
1830,1867,2233,,c280,8772,b868,1,1,,1,1,1,1,,3,,,,,"[1, 1]",1,1,93,6,0,4,13,0,45,4,1,4,0,,
2236,2577,2780,,8772,b868,8772,1,1,,1,1,,,,1,,,,,"[1, 1]",1,1,153,15,0,35,10,0,181,12,1,4,2,,
2439,4116,,,1162,b868,b868,0,2,,3,1,1,1,,0,,,,,[0],1,,140,5,0,149,3,0,55,14,0,-1,2,,
2845,5002,,,8772,b868,8772,0,1,,2,1,1,,,0,,,,,[1],1,,146,14,0,70,15,0,128,1,0,-1,2,,
3048,3138,3341,,b381,b868,b381,1,1,,1,1,,,,1,,,,,"[1, 1]",1,1,202,11,0,138,15,0,13,7,1,4,2,,
3251,3938,4141,,c280,b868,b868,1,1,,4,1,1,1,1,2,,,,,"[2, 2]",1,1,152,1,0,197,12,0,101,14,1,4,3,,
4266,,,,c280,b868,c280,0,1,,4,,,,,0,,,,,[],1,,122,15,0,84,3,0,202,1,0,-3,3,,
4266,5115,5399,,1162,b868,b868,1,1,,3,1,2,1,,1,,,,,"[2, 2]",1,1,133,6,0,139,2,0,58,3,1,4,3,,
5078,6231,8464,,8772,b868,8772,1,2,,1,2,2,1,,3,,,,,"[1, 1]",1,1,150,5,0,56,0,0,166,9,1,4,3,,
5484,5539,5742,,1162,b868,1162,1,1,,1,1,,,,1,,,,,"[1, 1]",1,1,27,9,0,150,2,0,107,2,1,4,3,,
5890,6130,6171,,1162,b381,b868,1,1,,2,1,1,,,1,,,,,"[1, 1]",1,1,189,12,0,191,11,0,95,11,1,4,0,,
6296,6388,6794,,1162,b381,1162,1,1,,1,2,1,,,2,,,,,"[2, 2]",1,1,72,4,0,124,10,0,76,6,1,4,0,,
6296,8096,,,c280,8772,c280,0,1,,0,,,,,0,,,,,[0],1,,150,7,0,62,6,0,146,6,0,-1,0,,
6905,,,,1162,b381,1162,0,1,,1,,,,,0,,,,,[],1,,67,0,0,153,4,0,89,14,0,-3,0,,
8123,8368,8977,,c280,8772,c280,1,2,,1,1,1,1,,3,,,,,"[8, 8]",1,1,20,1,0,94,8,0,144,13,1,4,1,,
8529,9276,9479,,8772,b868,8772,1,1,,1,1,,,,1,,,,,"[2, 2]",1,1,156,3,0,98,12,0,174,13,1,4,1,,
9138,9180,9789,,c280,8772,c280,1,1,,1,1,1,1,,3,,,,,"[11, 11]",1,1,46,14,0,47,6,0,153,1,1,4,1,,
