time,asn,src_res,dest_res,src_pkt,dest_pkt,command,status,ch1,slot1,ch2,slot2,ch3,slot3,id_res,succes
"2017-07-28 10:54:16,180",968,0009,0001,0009,0001,CELLADD_REQ,ENQUEUED,7,4,,,,,22,1
"2017-07-28 10:54:16,186",968,0008,0001,0008,0001,CELLADD_REQ,ENQUEUED,7,2,,,,,7,1
"2017-07-28 10:54:16,189",968,0007,0001,0007,0001,CELLADD_REQ,ENQUEUED,10,10,,,,,6,1
"2017-07-28 10:54:16,193",968,0006,0001,0006,0001,CELLADD_REQ,ENQUEUED,4,13,10,8,10,0,4,0
"2017-07-28 10:54:16,196",968,0004,0001,0004,0001,CELLADD_REQ,ENQUEUED,7,15,4,0,5,14,5,0
"2017-07-28 10:54:16,438",1001,0006,0001,0001,0006,CELLADD_REQ,RCVD,,,,,,,0,0
"2017-07-28 10:54:16,439",1001,0006,0001,0001,0006,CELLADD_REP,ENQUEUED,10,0,,,,,0,0
"2017-07-28 10:54:16,444",1001,0006,0001,0006,0001,CELLADD_REQ,TXED,,,,,,,0,0
"2017-07-28 10:54:16,537",1012,0006,0001,0006,0001,CELLADD_REP,RCVD,10,0,,,,,0,0
"2017-07-28 10:54:16,553",1012,0006,0001,0001,0006,CELLADD_REP,TXED,10,0,,,,,0,0
"2017-07-28 10:54:16,749",1045,0004,0001,0001,0004,CELLADD_REQ,RCVD,,,,,,,0,0
"2017-07-28 10:54:16,750",1045,0004,0001,0001,0004,CELLADD_REP,ENQUEUED,5,14,,,,,0,0
"2017-07-28 10:54:16,757",1045,0004,0001,0004,0001,CELLADD_REQ,TXED,,,,,,,0,0
"2017-07-28 10:54:16,824",1056,0004,0001,0004,0001,CELLADD_REP,RCVD,5,14,,,,,0,0
"2017-07-28 10:54:16,830",1056,0004,0001,0001,0004,CELLADD_REP,TXED,5,14,,,,,0,0
"2017-07-28 10:54:16,914",1067,0009,0001,0001,0009,CELLADD_REQ,RCVD,,,,,,,0,0
"2017-07-28 10:54:16,915",1067,0009,0001,0001,0009,CELLADD_REP,ENQUEUED,7,4,,,,,0,0
"2017-07-28 10:54:16,921",1067,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,0,0
"2017-07-28 10:54:17,021",1078,0009,0001,0009,0001,CELLADD_REP,RCVD,7,4,,,,,0,0
"2017-07-28 10:54:17,030",1078,0009,0001,0001,0009,CELLADD_REP,TXED,7,4,,,,,0,0
"2017-07-28 10:54:17,175",1100,0007,0001,0001,0007,CELLADD_REQ,RCVD,,,,,,,0,0
