time,asn,src_res,dest_res,src_pkt,dest_pkt,command,status,ch1,slot1,ch2,slot2,ch3,slot3,id_res,succes,numAtt,state
"2017-08-23 16:37:07,019",4543,000c,0001,000c,0001,CELLADD_REQ,ENQUEUED,7,4,,,,,1,1,0,1
"2017-08-23 16:37:07,031",4543,000a,0001,000a,0001,CELLADD_REQ,ENQUEUED,10,14,10,5,,,2,1,0,1
"2017-08-23 16:37:07,036",4543,0009,0001,0009,0001,CELLADD_REQ,ENQUEUED,10,10,,,,,3,1,0,1
"2017-08-23 16:37:07,040",4543,0005,0001,0005,0001,CELLADD_REQ,ENQUEUED,6,4,5,8,9,10,4,1,0,1
"2017-08-23 16:37:07,045",4543,000f,0001,000f,0001,CELLADD_REQ,ENQUEUED,4,0,6,9,,,5,1,0,1
"2017-08-23 16:37:07,190",4554,0005,0001,0005,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:07,184",4554,000c,0001,000c,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:07,187",4554,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:07,173",4554,000a,0001,000a,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:07,170",4554,000f,0001,000f,0001,CELLADD_REQ,TXED,,,,,,,5,1,1,2
"2017-08-23 16:37:07,180",4554,000f,0001,0001,000f,CELLADD_REQ,RCVD,,,,,,,5,1,0,3
"2017-08-23 16:37:07,181",4554,000f,0001,0001,000f,CELLADD_REP,ENQUEUED,6,9,,,,,5,1,0,4
"2017-08-23 16:37:07,317",4565,0005,0001,0005,0001,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:07,309",4565,000c,0001,000c,0001,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:07,313",4565,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:07,305",4565,000f,0001,0001,000f,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:07,424",4576,000a,0001,0001,000a,CELLADD_REQ,RCVD,,,,,,,2,1,0,3
"2017-08-23 16:37:07,426",4576,000a,0001,0001,000a,CELLADD_REP,ENQUEUED,10,5,,,,,2,1,0,4
"2017-08-23 16:37:07,435",4576,000a,0001,000a,0001,CELLADD_REQ,TXED,,,,,,,2,1,2,2
"2017-08-23 16:37:07,678",4598,000f,0001,0001,000f,CELLADD_REP,TXED,6,9,,,,,5,1,2,5
"2017-08-23 16:37:07,669",4598,000f,0001,000f,0001,CELLADD_REP,RCVD,6,9,,,,,5,1,0,6
"2017-08-23 16:37:07,795",4609,000c,0001,000c,0001,CELLADD_REQ,TXED,,,,,,,,,3,2
"2017-08-23 16:37:07,798",4609,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,,,3,2
"2017-08-23 16:37:07,791",4609,000a,0001,0001,000a,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:07,899",4620,000a,0001,0001,000a,CELLADD_REP,TXED,10,5,,,,,2,1,2,5
"2017-08-23 16:37:07,916",4620,000a,0001,000a,0001,CELLADD_REP,RCVD,10,5,,,,,2,1,0,6
"2017-08-23 16:37:08,128",4642,0005,0001,0005,0001,CELLADD_REQ,TXED,,,,,,,4,1,3,2
"2017-08-23 16:37:08,116",4642,0005,0001,0001,0005,CELLADD_REQ,RCVD,,,,,,,4,1,0,3
"2017-08-23 16:37:08,118",4642,0005,0001,0001,0005,CELLADD_REP,ENQUEUED,9,10,,,,,4,1,0,4
"2017-08-23 16:37:08,249",4653,0005,0001,0001,0005,CELLADD_REP,TXED,9,10,,,,,4,1,1,5
"2017-08-23 16:37:08,231",4653,0005,0001,0005,0001,CELLADD_REP,RCVD,9,10,,,,,4,1,0,6
"2017-08-23 16:37:08,360",4664,000c,0001,0001,000c,CELLADD_REP,ENQUEUED,7,4,,,,,1,1,0,4
"2017-08-23 16:37:08,370",4664,000c,0001,000c,0001,CELLADD_REQ,TXED,,,,,,,1,1,4,2
"2017-08-23 16:37:08,358",4664,000c,0001,0001,000c,CELLADD_REQ,RCVD,,,,,,,1,1,0,3
"2017-08-23 16:37:08,467",4675,000c,0001,0001,000c,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:08,564",4686,000c,0001,0001,000c,CELLADD_REP,TXED,,,,,,,,,2,5
"2017-08-23 16:37:08,716",4697,0008,0005,0008,0005,CELLADD_REQ,ENQUEUED,4,8,6,8,,,6,1,0,1
"2017-08-23 16:37:08,824",4708,0008,0005,0008,0005,CELLADD_REQ,TXED,,,,,,,,,1,2
